PRODUCT_ID,Product_Name,Category,Price,REGION_ID,REGION_NAME,Sales_ID,SALES_Date,Quantity,Total_amount
1,Bush Somerset Collection Bookcase,Furniture,41.9136,42420,South,CA-2016-152156,11/8/2016,2,261.96
2,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,219.582,42420,South,CA-2016-152156,11/8/2016,3,731.94
3,Self-Adhesive Address Labels for Typewriters by Universal,Office Supplies,6.8714,90036,West,CA-2016-138688,6/12/2016,2,14.62
4,Bretford CR4500 Series Slim Rectangular Table,Furniture,-383.031,33311,South,US-2015-108966,10/11/2015,5,957.5775
5,Eldon Fold 'N Roll Cart System,Office Supplies,2.5164,33311,South,US-2015-108966,10/11/2015,2,22.368
6,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Furniture,14.1694,90032,West,CA-2014-115812,6/9/2014,7,48.86
7,Newell 322,Office Supplies,1.9656,90032,West,CA-2014-115812,6/9/2014,4,7.28
8,Mitel 5320 IP Phone VoIP phone,Technology,90.7152,90032,West,CA-2014-115812,6/9/2014,6,907.152
9,DXL Angle-View Binders with Locking Rings by Samsill,Office Supplies,5.7825,90032,West,CA-2014-115812,6/9/2014,3,18.504
10,Belkin F5C206VTEL 6 Outlet Surge,Office Supplies,34.47,90032,West,CA-2014-115812,6/9/2014,5,114.9
11,Chromcraft Rectangular Conference Tables,Furniture,85.3092,90032,West,CA-2014-115812,6/9/2014,9,1706.184
12,Konftel 250 Conference phone - Charcoal black,Technology,68.3568,90032,West,CA-2014-115812,6/9/2014,4,911.424
13,Xerox 1967,Office Supplies,5.4432,28027,South,CA-2017-114412,4/15/2017,3,15.552
14,Fellowes PB200 Plastic Comb Binding Machine,Office Supplies,132.5922,98103,West,CA-2016-161389,12/5/2016,3,407.976
15,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Office Supplies,-123.858,76106,Central,US-2015-118983,11/22/2015,5,68.81
16,Storex DuraTech Recycled Plastic Frosted Binders,Office Supplies,-3.816,76106,Central,US-2015-118983,11/22/2015,3,2.544
17,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Office Supplies,13.3176,53711,Central,CA-2014-105893,11/11/2014,6,665.88
18,Fellowes Super Stor/Drawer,Office Supplies,9.99,84084,West,CA-2014-167164,5/13/2014,2,55.5
19,Newell 341,Office Supplies,2.4824,94109,West,CA-2014-143336,8/27/2014,2,8.56
20,Cisco SPA 501G IP Phone,Technology,16.011,94109,West,CA-2014-143336,8/27/2014,3,213.48
21,"Wilson Jones Hanging View Binder, White, 1""",Office Supplies,7.384,94109,West,CA-2014-143336,8/27/2014,4,22.72
22,Newell 318,Office Supplies,5.0596,68025,Central,CA-2016-137330,12/9/2016,7,19.46
23,"Acco Six-Outlet Power Strip, 4' Cord Length",Office Supplies,15.6884,68025,Central,CA-2016-137330,12/9/2016,7,60.34
24,"Global Deluxe Stacking Chair, Gray",Furniture,-1.0196,19140,East,US-2017-156909,7/16/2017,2,71.372
25,Bretford CR4500 Series Slim Rectangular Table,Furniture,240.2649,84057,West,CA-2015-106320,9/25/2015,3,1044.63
26,Wilson Jones Active Use Binders,Office Supplies,4.2224,90049,West,CA-2016-121755,1/16/2016,2,11.648
27,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,Technology,11.7741,90049,West,CA-2016-121755,1/16/2016,3,90.57
28,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,-1665.0522,19140,East,US-2015-150630,9/17/2015,7,3083.43
29,Avery Recycled Flexi-View Covers for Binding Systems,Office Supplies,-7.0532,19140,East,US-2015-150630,9/17/2015,2,9.618
30,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furniture,15.525,19140,East,US-2015-150630,9/17/2015,3,124.2
31,Poly String Tie Envelopes,Office Supplies,1.1016,19140,East,US-2015-150630,9/17/2015,2,3.264
32,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",Office Supplies,9.7092,19140,East,US-2015-150630,9/17/2015,6,86.304
33,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Office Supplies,-5.715,19140,East,US-2015-150630,9/17/2015,6,6.858
34,Lumber Crayons,Office Supplies,3.546,19140,East,US-2015-150630,9/17/2015,2,15.76
35,Easy-staple paper,Office Supplies,9.9468,77095,Central,CA-2017-107727,10/19/2017,3,29.472
36,GE 30524EE4,Technology,123.4737,75080,Central,CA-2016-117590,12/8/2016,7,1097.544
